intervallo,strategia,fee_%,rsi_window,rsi_window2,rsi_window3,ema_window,ema_window2,ema_window3,atr_window,atr_multiplier,kama_pow1,kama_pow2,rsi_buy_limit,rsi_sell_limit,num_cond,n_trade,rendimento_%,buy_hold_%,cagr_%,volatilita_%,sharpe,max_drawdown_%,buy_hold_drawdown_%,win_rate_%,profit_factor,trade_medio_%,trade_mediano_%,esposizione_%,durata_media_h,trade_per_anno,commissioni_%,secondi,griglia,stop_loss
1h,Trend Zones,0.1,12,24,36,10,50,200,5,1.6,2,30,,,,8545,-99.99998653823266,7962.376577570151,-80.61563405841386,50.77168628588178,-2.979027408134727,99.99999026652252,83.93728308558705,19.27442949093037,0.8395219695740145,-0.171849053401217,-0.4055604562229193,52.92210865038803,5.235108250438853,886.1616269165247,158.94381491417403,0.2,trend_zones,
1h,Close RSI Reverse,0.1,5,14,36,10,50,200,5,1.6,2,30,,,,10071,-99.99999994231015,7962.376577570151,-88.9877207409053,49.532847439015924,-4.193578761849078,99.99999995070722,83.93728308558705,21.854830702015686,0.7384197650527092,-0.20006121001740404,-0.3962171622172747,50.95116411130039,4.276437295204051,1044.4158858603066,112.2451018195226,0.25,close_rsi_reverse,
1h,Close RSI Reverse,0.1,5,21,36,10,50,200,5,1.6,2,30,,,,9688,-99.99999986887762,7962.376577570151,-88.00897856372953,49.7055013814376,-4.003028922726104,99.9999998862332,83.93728308558705,21.170520231213874,0.7109006226764489,-0.19931292620005867,-0.3973694104107311,50.964177550634105,4.446635012386458,1004.6967632027258,98.08030812405671,0.24,close_rsi_reverse,
1h,Close RSI Reverse,0.1,5,24,36,10,50,200,5,1.6,2,30,,,,9592,-99.99999983105673,7962.376577570151,-87.68964989672769,49.61196429699504,-3.959379973150405,99.99999985833367,83.93728308558705,21.048790658882403,0.7454397538218167,-0.19870492679380003,-0.3969097489342625,50.91803899299641,4.487072560467055,994.741056218058,111.32865676873669,0.24,close_rsi_reverse,
1h,Close RSI Reverse,0.1,12,24,36,10,50,200,5,1.6,2,30,,,,6427,-99.99726457262332,7962.376577570151,-66.36469155561554,49.703605639847154,-1.9418989118940884,99.99866079911344,83.93728308558705,20.989575229500545,0.8839043710410585,-0.14632134126487953,-0.4335243211121481,50.656587166382735,6.662361910689279,666.5138415672914,205.183490609857,0.17,close_rsi_reverse,
1h,Green Candles,0.1,12,24,36,10,50,200,5,1.6,2,30,,,,3342,-99.94696107636129,7962.376577570151,-54.257154936298335,49.513852108936916,-1.3280320672674393,99.96559938665935,83.93728308558705,32.73488928785159,0.8147574337208102,-0.19202078095251265,-0.4190532873095637,50.90857467348098,12.876122082585278,346.5830494037479,91.18374071077773,0.09,green_candles,
4h,Close Buy/Sell Limits,0.1,12,24,36,10,50,200,5,2.5,2,30,40.0,85.0,2.0,0,0.0,7941.877166400299,0.0,,,0.0,83.83845275107683,,,,,0.0,,0.0,0.0,0.02,close_buy_sell_limits,
4h,Close Buy/Sell Limits,0.1,12,24,36,10,50,200,5,2.5,2,30,30.0,85.0,2.0,0,0.0,7941.877166400299,0.0,,,0.0,83.83845275107683,,,,,0.0,,0.0,0.0,0.01,close_buy_sell_limits,
4h,Close Buy/Sell Limits,0.1,12,24,36,10,50,200,5,2.5,2,30,35.0,85.0,2.0,0,0.0,7941.877166400299,0.0,,,0.0,83.83845275107683,,,,,0.0,,0.0,0.0,0.01,close_buy_sell_limits,
4h,Close Buy/Sell Limits,0.1,12,24,36,10,50,200,5,1.6,2,30,25.0,75.0,1.0,162,-73.23997276934999,7941.877166400299,-12.777740715286502,48.64743872108467,-0.03496620605705239,90.13771422509338,83.83845275107683,58.0246913580247,0.810525687123118,-0.31973121888189276,1.4556314843639377,46.19534355479841,241.03703703703704,16.800255536626917,17.02856892127356,0.02,close_buy_sell_limits,
4h,Close ATR,0.1,12,24,36,10,50,200,14,4.0,2,30,,,,1,33.657020471119445,7941.877166400299,3.0542750387807294,26.248259772103616,0.24571456657211932,52.48309721953236,83.83845275107683,100.0,inf,33.65715412827357,33.65715412827357,11.333522619723642,9580.0,0.10370528109028962,0.23369081128240182,0.01,close_atr,99.0
4h,Close ATR,0.1,12,24,36,10,50,200,20,4.0,2,30,,,,3,1278.7226799006323,7941.877166400299,31.271296406157177,56.95442547474343,0.7621017586324389,83.83845275107683,83.83845275107683,100.0,inf,165.41485525108692,195.779558614208,51.30607609312891,14456.0,0.31111584327086883,3.165738271070509,0.01,close_atr,99.0
4h,Close ATR,0.1,12,24,36,50,50,200,5,4.0,2,30,,,,32,-26.093129963376416,7941.877166400299,-3.0870259498200214,38.19494625955958,0.1101396467388609,78.23164613837054,83.83845275107683,59.375,0.8760412517560662,0.998857517419621,1.9005849787804692,36.36664773802764,960.625,3.318568994889268,5.629382318961909,0.01,close_atr,99.0
4h,Close ATR,0.1,12,24,36,10,50,200,5,1.6,2,30,,,,153,-53.8083045787525,7941.877166400299,-7.6974912280966095,47.79676924539297,0.07389062989766898,85.80059179261292,83.83845275107683,57.51633986928104,0.8775745556510325,-0.03260466087345213,1.4136706027714783,44.24569373462048,244.44444444444446,15.866908006814311,21.31132592951409,0.02,close_atr,99.0
4h,ATR Bands,0.1,12,24,36,10,50,200,5,2.5,2,30,,,,65,1937.5611450641993,7941.877166400299,36.697851254031065,49.165715275898606,0.8811905000240574,67.7941741566864,83.83845275107683,75.38461538461539,1.5352862652742467,6.633832980095726,6.917711814563185,46.20954003407155,600.9230769230769,6.740843270868825,135.7652566953361,0.02,atr_bands,99.0
4h,ATR Bands,0.1,12,24,36,10,50,200,7,4.0,2,30,,,,1,-43.16209542755127,7941.877166400299,-5.690667529422811,32.15902560365141,-0.021308450786410735,77.11132227176375,83.83845275107683,0.0,0.0,-43.162038589589855,-43.162038589589855,25.880181714934697,21876.0,0.10370528109028962,0.15679479937182056,0.01,atr_bands,99.0
4h,ATR Bands,0.1,12,24,36,10,50,200,5,2.0,2,30,,,,179,1125.558182826312,7941.877166400299,29.677902269713364,52.63390615160871,0.7583094465915243,69.83949496246832,83.83845275107683,67.0391061452514,1.3277776160562111,2.025710655221829,3.3664268829745185,48.54249479462427,229.22905027932958,18.56324531516184,237.79120162686974,0.02,atr_bands,99.0
4h,ATR Bands,0.1,12,24,36,10,50,200,5,1.6,2,30,,,,293,511.96446195519786,7941.877166400299,20.666762844942088,50.52130024993489,0.6267562894849221,71.03770931151388,83.83845275107683,69.6245733788396,1.2205425342752436,0.91295295532177,1.9357852291006838,48.16865417376491,138.96245733788396,30.385647359454858,223.72212311757517,0.02,atr_bands,99.0
4h,Supertrend,0.1,12,24,36,20,50,200,14,3.0,2,30,,,,87,2073.048074213241,7941.877166400299,37.613535016161094,40.020109442821735,0.9969461083612161,40.78126635713074,83.83845275107683,55.172413793103445,1.449980320324277,4.537362874666883,1.9698678301682857,39.300586787809955,381.8390804597701,9.022359454855197,228.5367660306435,0.02,supertrend,
4h,Supertrend,0.1,12,24,36,50,50,200,20,4.0,2,30,,,,82,2917.4843701631944,7941.877166400299,42.379349257838214,40.73438547014459,1.0715022157214031,54.57555258249669,83.83845275107683,54.87804878048781,1.3115020458627586,5.506968359195701,0.6969900868439287,41.86068521673292,431.5121951219512,8.503833049403749,369.9769366923339,0.02,supertrend,
4h,Supertrend,0.1,12,24,36,10,50,200,7,3.0,2,30,,,,6,-6.060738252366282,7941.877166400299,-0.646286241379701,10.711265175526137,-0.007244056410726119,38.00128547452131,83.83845275107683,33.33333333333333,0.8699705890336991,0.13470462378308726,-8.673043459923424,5.441983721370434,766.6666666666666,0.6222316865417377,1.2516575759972373,0.02,supertrend,
4h,Supertrend,0.1,12,24,36,10,50,200,5,1.6,2,30,,,,255,420.23290364035495,7941.877166400299,18.651571840742687,40.874983555374534,0.6226638086638955,60.505119545214,83.83845275107683,43.92156862745098,1.1249368033032827,1.0044539398995496,-1.8685380920634895,42.62256293772478,141.28627450980392,26.44484667802385,217.2789164350135,0.02,supertrend,
4h,TP/SL with ATR,0.1,12,24,36,10,50,200,7,3.0,2,30,,,,6,-18.40033022020685,7941.877166400299,-2.086715136597228,9.967687493268288,-0.161666824014726,38.00128547452131,83.83845275107683,33.33333333333333,0.5688470659052115,-2.652377609743136,-8.67304345992343,4.973499905356805,700.6666666666666,0.6222316865417377,1.1501136013126168,0.01,tp_sl_atr,
4h,TP/SL with ATR,0.1,12,24,36,10,50,200,30,4.0,2,30,,,,15,132.80873451024533,7941.877166400299,9.159053788982053,13.092611446681628,0.7328765605799543,20.680518343189135,83.83845275107683,73.33333333333333,2.6121247058426196,6.299130945202224,9.149029067814615,4.230550823395798,238.4,1.5555792163543443,5.974240377932456,0.01,tp_sl_atr,
4h,TP/SL with ATR,0.1,12,24,36,20,50,200,14,4.0,2,30,,,,23,87.13348484643208,7941.877166400299,6.714528127248731,18.859227239382776,0.43865566045799326,38.61854775461167,83.83845275107683,65.21739130434783,1.3855208418482765,3.8196031244245208,6.8023671120227736,8.745031232254401,321.39130434782606,2.385221465076661,8.060033473019459,0.01,tp_sl_atr,
4h,TP/SL with ATR,0.1,12,24,36,10,50,200,5,1.6,2,30,,,,258,191.63661137944837,7941.877166400299,11.739461683872786,39.95362305350822,0.4783755681278846,67.4538328291399,83.83845275107683,56.58914728682171,1.1150214252496098,0.7162730585579986,3.2473609698486983,46.11489683891728,151.08527131782944,26.75596252129472,102.52852726561446,0.02,tp_sl_atr,
4h,Close Bullish EMA,0.1,24,24,36,12,26,50,5,1.6,2,30,45.0,80.0,,23,3646.135441030531,7941.877166400299,45.609233802173875,66.22072528566217,0.8989453048623876,86.24529639403865,83.83845275107683,78.26086956521739,2.2621035991278102,23.463710330807302,23.382215785177227,95.91614612909332,3525.0434782608695,2.385221465076661,60.66589497268263,0.08,close_bullish_ema,
4h,Close Bullish EMA,0.1,24,24,36,12,26,50,5,1.6,2,30,40.0,80.0,,23,3646.135441030531,7941.877166400299,45.609233802173875,66.22072528566217,0.8989453048623876,86.24529639403865,83.83845275107683,78.26086956521739,2.2621035991278102,23.463710330807302,23.382215785177227,95.91614612909332,3525.0434782608695,2.385221465076661,60.66589497268263,0.09,close_bullish_ema,
4h,Close Bullish EMA,0.1,24,24,36,12,26,50,5,1.6,2,30,50.0,80.0,,23,3646.135441030531,7941.877166400299,45.609233802173875,66.22072528566217,0.8989453048623876,86.24529639403865,83.83845275107683,78.26086956521739,2.2621035991278102,23.463710330807302,23.382215785177227,95.91614612909332,3525.0434782608695,2.385221465076661,60.66589497268263,0.09,close_bullish_ema,
4h,Close Bullish EMA,0.1,12,24,36,10,50,200,5,1.6,2,30,25.0,75.0,,79,447.48619154140414,7941.877166400299,19.281528918697077,43.66456139832195,0.621519264757382,62.486328122339415,83.83845275107683,67.08860759493672,1.365465860847018,3.1249098883842072,4.613794789659579,40.38898353208404,432.1518987341772,8.19271720613288,57.931358640572014,0.09,close_bullish_ema,
4h,Close EMA Crossover,0.1,12,24,36,50,100,200,5,1.6,2,30,,,,31,6739.8175011500925,7941.877166400299,54.99004599463839,50.12748938922085,1.1238035506311193,62.233227513457166,83.83845275107683,45.16129032258064,1.9903977116686014,26.38001992932365,-2.0922907553619297,50.76187772099187,1384.1290322580646,3.214863713798978,235.52418190818085,0.04,close_ema_crossover,
4h,Close EMA Crossover,0.1,12,24,36,10,50,200,5,1.6,2,30,,,,39,9936.32190780859,7941.877166400299,61.27752673330609,51.587765382849504,1.183953697234831,70.65363872720867,83.83845275107683,41.02564102564102,2.04654606277418,22.72220718762879,-3.0901394111899925,53.34090478894568,1156.1025641025642,4.044505962521295,416.6885913824978,0.04,close_ema_crossover,
4h,Close EMA Crossover,0.1,12,24,36,20,50,100,5,1.6,2,30,,,,66,11524.163412737531,7941.877166400299,63.75286848719295,50.825011802578366,1.2239777150062179,63.74937429456564,83.83845275107683,39.39393939393939,1.5398401996339857,12.717894504523995,-3.2002913934719652,57.89324247586598,741.4545454545455,6.8445485519591145,921.4213442575773,0.04,close_ema_crossover,
4h,Trend Zones,0.1,12,24,36,200,50,200,5,1.6,2,30,,,,308,9378.117204020657,7941.877166400299,60.323253804230845,49.52349983983685,1.2010382215082485,75.17810602608371,83.83845275107683,16.233766233766232,1.5123285079188684,2.4136258900667524,-0.9804178654894341,53.307779670641686,146.2987012987013,31.9412265758092,3091.424748431009,0.02,trend_zones,
4h,Trend Zones,0.1,12,24,36,100,50,200,5,1.6,2,30,,,,470,8438.523021967138,7941.877166400299,58.596862459650765,48.22961987455424,1.1957635685854957,57.600300209405255,83.83845275107683,17.659574468085108,1.3490661698599395,1.4863530829270513,-0.899262477709357,53.653227332954756,96.4936170212766,48.74148211243612,3891.314798524449,0.02,trend_zones,
